#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
65,Lithuania,233640,735,3760,6,211411,105,18469,173,86795,1397,2605277,967836,2,691,858,12,716,1,
66,Slovenia,232077,484,4159,6,215986,714,11932,153,111620,2000,1130141,543555,2,79,166,9,500,2,
67,Costa Rica,228577,,3071,,196974,,28532,236,44547,599,895974,174616,5,131,107,22,1671,6,
68,Egypt,216334,850,12738,44,163479,765,40117,90,2083,123,2677262,25777,103,863,312,480,8154,39,
69,Guatemala,212734,427,7221,31,190944,556,14569,5,11703,397,1164693,64071,18,178,124,85,2517,16,
70,Armenia,208520,547,3878,19,187466,210,17176,,70264,1307,935427,315207,2,967,658,14,765,3,
71,Honduras,200259,577,4954,20,76235,,119070,576,19967,494,558803,55716,10,29,541,50,2025,18,
72,Qatar,196580,823,382,6,173970,713,22228,467,70012,136,1840053,655335,2807805,14,7350,2,,,
73,Bosnia and Herzegovina,190767,1302,7870,49,145863,,37034,,58437,2411,862452,264190,3,264,508,17,415,4,
74,Venezuela,183190,1287,1905,17,165959,1429,15326,274,6457,67,3359014,118394,28,371,608,155,14893,8,
75,Oman,180031,3363,1878,57,160324,3479,17829,261,34560,361,1550000,297549,5,209,222,29,2774,3,
76,Libya,171880,749,2896,14,157010,666,11974,,24747,417,929790,133870,6,945,464,40,2398,7,
77,Uruguay,164744,2344,1908,60,132917,3581,29919,517,47295,548,1630582,468111,3,483,322,21,1826,2,
78,Nigeria,164233,26,2061,,154332,7,7840,11,781,10,1838174,8746,210,176,743,1280,101978,114,
79,Bahrain,164110,997,594,6,152361,1075,11155,92,93878,340,3903112,2232759,1,748,112,11,2943,0,
80,Kenya,151653,366,2481,18,101642,280,47530,264,2772,45,1603332,29307,54,708,289,361,22051,34,
81,North Macedonia,147094,361,4443,24,122810,689,19841,124,70606,2133,691255,331807,2,83,306,14,469,3,
82,Myanmar,142628,9,3206,,131895,6,7527,,2607,59,2558694,46777,54,700,104,384,17062,21,
83,Albania,129594,138,2342,2,101584,442,25668,18,45072,815,603410,209861,2,875,289,22,1228,5,
84,Algeria,119642,156,3155,3,83397,111,33090,21,2690,71,230861,5190,44,478,489,372,14098,193,
85,Estonia,117554,543,1092,10,101879,408,14583,54,88570,823,1231295,927707,1,327,246,11,1215,1,
86,S. Korea,114115,671,1797,3,104006,412,8312,102,2224,35,8396067,163652,51,304,373,450,28550,6,
87,Latvia,111334,337,2053,5,101944,,7337,86,59553,1098,2122489,1135321,1,869,505,17,911,1,
88,Norway,107510,366,708,,88952,,17850,47,19709,130,4967185,910580,5,454,966,51,7705,1,
89,Sri Lanka,96796,357,618,1,93113,281,3065,,4505,29,2374627,110526,21,484,770,222,34765,9,
90,Montenegro,95551,174,1429,2,90903,295,3219,69,152120,2275,360958,574656,628,129,7,440,2,,
91,Cuba,93511,1037,525,13,88035,974,4951,64,8260,46,3363901,297136,11,321,100,121,21564,3,
92,Kyrgyzstan,91883,244,1549,3,86907,134,3427,25,13902,234,932375,141065,6,609,541,72,4267,7,
93,Ghana,91709,46,771,,89604,74,1334,9,2903,24,1047048,33149,31,586,299,344,40968,30,
94,Zambia,90918,74,1235,1,88718,163,965,50,4839,66,1346505,71660,18,790,228,207,15215,14,
95,China,90499,16,4636,,85549,11,314,5,63,3,160000000,111163,1439323776,15904,310467,9,,,
96,Uzbekistan,86680,342,638,2,84043,205,1999,23,2560,19,1377915,40702,33,854,114,391,53063,25,
97,Finland,84131,,887,,46000,,37244,34,15165,160,4264615,768734,5,547,583,66,6254,1,
98,Mozambique,69203,69,798,,61293,86,7112,68,2166,25,504012,15777,31,946,422,462,40033,63,
99,El Salvador,67557,153,2075,3,63787,102,1695,62,10374,319,888633,136455,6,512,268,96,3138,7,
100,Cameroon,64809,,939,,57821,,6049,385,2394,35,1257949,46474,27,67,977,418,28826,22,
101,Luxembourg,64746,,785,,60627,,3334,30,102114,1238,2548684,4019664,634,54,10,808,0,,
102,Singapore,60831,23,30,,60485,22,316,2,10333,5,9036706,1535041,5,886,946,97,196232,1,
103,Afghanistan,57898,105,2546,6,52168,52,3184,1124,1461,64,382972,9666,39,621,758,684,15562,103,
104,Cyprus,56259,852,291,3,39061,,16907,65,46328,240,4339111,3573188,1,214,353,22,4173,0,
105,Namibia,46655,140,604,2,44525,88,1526,34,18102,234,371066,143971,2,577,367,55,4267,7,
106,Ivory Coast,45560,41,274,,45129,65,157,,1694,10,557294,20722,26,894,422,590,98155,48,
107,Botswana,44075,,671,,39493,,3911,1,18447,281,969789,405902,2,389,218,54,3561,2,
108,Jamaica,43890,206,723,2,19710,111,23457,35,14771,243,314803,105942,2,971,462,68,4110,9,
109,Thailand,42352,1767,101,2,28750,,13501,1,606,1,8124896,116170,69,939,581,1651,692471,9,
110,Uganda,41378,38,338,,40898,,142,24,883,7,986829,21050,46,879,156,1133,138696,48,
