#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
89,Sri Lanka,94848,284,595,2,91456,184,2797,,4415,28,2374627,110535,21,483,57,226,36106,
90,Montenegro,94035,232,1365,11,88144,376,4526,69,149707,2173,351107,558974,628,128,7,460,,
91,Ghana,91260,151,754,2,89092,121,1414,10,2890,24,1025654,32484,31,573,869,346,41875,
92,China,90400,14,4636,,85481,10,283,3,63,3,160000000,111163,1439323776,15922,310467,,,
93,Kyrgyzstan,90019,208,1519,3,85824,105,2676,24,13624,230,897438,135822,6,607,481,73,4350,
94,Zambia,89918,135,1226,,86813,1254,1879,56,4788,65,1300396,69242,18,780,343,209,15318,
95,Cuba,85572,1040,453,5,79958,1042,5161,66,7559,40,3191858,281936,11,321,232,132,24992,
96,Uzbekistan,84724,195,634,,82586,171,1504,23,2503,19,1377915,40713,33,844,834,399,53383,
97,Finland,81707,446,868,,46000,,34839,41,14729,156,4142869,746810,5,547,419,68,6391,
98,Mozambique,68578,72,789,,58383,47,9406,68,2148,25,494568,15489,31,929,609,466,40468,
99,El Salvador,66315,,2048,4,62340,,1927,30,10184,315,856658,131558,6,511,643,98,3180,
100,Luxembourg,63650,183,768,5,58874,,4008,30,100417,1212,2490226,3928675,633,859,10,825,,
101,Cameroon,61731,,919,,56926,,3886,385,2282,34,1187367,43887,27,55,300,438,29440,
102,Singapore,60633,32,30,,60322,18,281,1,10301,5,8789647,1493297,5,886,67,97,196202,
103,Afghanistan,57160,16,2521,,51962,1,2677,1120,1443,64,367390,9276,39,604,950,693,15710,
104,Cyprus,51035,446,272,4,39061,2189,11702,52,42032,224,3888225,3202333,1,214,185,24,4464,
105,Namibia,45323,130,564,5,43555,72,1204,20,17591,219,359894,139684,2,576,485,57,4568,
106,Ivory Coast,45089,,260,,44197,,632,,1677,10,548998,20423,26,881,892,596,103392,
107,Botswana,42674,,636,,38203,,3835,1,17868,266,944985,395671,2,388,308,56,3755,
108,Jamaica,42119,276,669,8,18785,95,22665,44,14176,225,301319,101413,2,971,216,71,4441,
109,Uganda,41113,27,337,,40685,,91,,878,7,964009,20576,46,851,395,1140,139025,
110,Senegal,39364,57,1077,3,38101,70,186,18,2304,63,452391,26481,17,83,884,434,15862,
111,Zimbabwe,37273,126,1538,3,34862,31,873,3,2480,102,390833,26003,15,30,471,403,9773,
112,Malawi,33805,26,1127,1,31360,121,1318,23,1733,58,223379,11449,19,510,895,577,17312,
113,Thailand,31658,789,97,1,28161,33,3400,1,453,1,8124896,116176,69,936,240,2209,720992,
114,Sudan,30111,,2063,,24214,,3834,,675,46,232965,5219,44,639,104,1482,21638,
115,Malta,29548,37,402,1,28610,49,536,,66781,909,830740,1877557,442,458,15,1101,,
116,Australia,29396,8,909,,26352,9,2135,,1143,35,16078365,624906,25,729,274,875,28305,
117,DRC,28542,31,745,,25841,,1956,,311,8,143197,1562,91,655,486,3211,123027,
118,Madagascar,27548,514,493,7,23481,188,3574,246,976,17,152945,5416,28,239,647,1025,57281,
119,Maldives,25524,88,67,,22429,153,3028,82,46585,122,665151,1213985,547,907,21,8178,,
120,Rwanda,23343,83,314,,21072,81,1957,6,1768,24,1214021,91973,13,199,759,565,42037,
121,Angola,23331,89,550,1,21890,301,891,13,693,16,438556,13032,33,652,304,1442,61186,
122,Guinea,20807,61,133,1,18473,65,2201,24,1552,10,413716,30858,13,407,156,644,100806,
123,Gabon,20636,,127,,17456,,3053,20,9106,56,662689,292417,2,266,246,110,17844,
124,Syria,20118,110,1368,8,13895,115,4855,,1128,77,,,17,828,502,886,13033,
125,Mayotte,19643,,167,,2964,,16512,7,70686,601,162430,584510,277,891,14,1664,,
126,French Polynesia,18652,,141,,4842,,13669,2,66102,500,26355,93401,282,170,15,2001,,
127,Cabo Verde,18629,,177,,17077,,1375,23,33226,316,134993,240771,560,670,30,3168,,
128,Mauritania,18012,7,450,,17322,15,240,14,3797,95,214857,45292,4,743,824,263,10542,
129,French Guiana,17549,,94,,9995,,7460,9,57604,309,169271,555628,304,648,17,3241,,
130,Réunion,17508,,123,,16011,,1374,54,19447,137,100098,111186,900,274,51,7319,,
131,Eswatini,17373,3,669,,16645,3,59,3,14855,572,173142,148050,1,169,482,67,1748,
132,Mongolia,14183,689,20,1,8875,353,5288,88,4273,6,2370316,714135,3,319,145,234,165957,
133,Tajikistan,13308,,90,,13218,,0,,1372,9,,,9,702,976,729,107811,
134,Burkina Faso,12956,32,152,,12593,22,211,,607,7,175176,8207,21,344,682,1647,140426,
135,Haiti,12840,,251,,11447,,1142,,1116,22,54379,4724,11,510,273,896,45858,
136,Andorra,12497,41,120,,11770,38,607,12,161541,1551,193595,2502488,77,361,6,645,,
137,Belize,12485,,318,,12106,,61,1,30964,789,103373,256376,403,209,32,1268,,
138,Somalia,12271,,605,,5129,,6537,,756,37,98053,6040,16,234,617,1323,26834,
139,Guadeloupe,12140,,174,,2242,,9724,13,30337,435,159029,397397,400,177,33,2300,,
140,Togo,11947,133,116,,9190,205,2641,,1417,14,290782,34500,8,428,407,705,72659,
141,Mali,11705,312,405,1,7101,20,4199,,565,20,240790,11633,20,699,744,1768,51110,
142,Hong Kong,11569,5,207,,11193,7,169,7,1533,27,11193673,1483745,7,544,203,652,36445,
143,Curaçao,11180,271,63,1,6405,284,4712,22,67916,383,83985,510190,164,615,15,2613,,
