#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
138,Haiti,12944,+26,251 ,,11945,+154,748,,1124,22,60085,5218,11514071,890,45873,192
139,Andorra,12917,+43,123 ,,12334,+49,460,25,166962,1590,193595,2502359,77365,6,629,0
140,Togo,12657,+47,121 ,,10431,+81,2105,,1501,14,302679,35889,8433723,666,69700,28
141,Belize,12585,+17,318 ,,12164,+3,103,1,31197,788,112281,278332,403407,32,1269,4
142,Guyana,12132,+160,274 ,+1,10442,+145,1416,12,15365,347,111885,141697,789606,65,2882,7
143,Curaçao,11983,+49,95 ,+1,9820,+248,2068,22,72786,577,90143,547539,164633,14,1733,2
144,Hong Kong,11705,+1,209 ,,11302,+15,194,3,1551,28,11193673,1483419,7545862,645,36105,1
145,Lesotho,10720,,316 ,,5975,+107,4429,,4972,147,74675,34638,2155898,201,6822,29
146,Djibouti,10633,+76,129 ,+6,9801,+194,703,,10638,129,145526,145596,999519,94,7748,7
147,Martinique,10611,,68 ,,98,,10445,24,28294,181,149454,398512,375030,35,5515,3
148,South Sudan,10486,+8,114 ,,10250,+35,122,,928,10,144957,12829,11299054,1078,99115,78
149,Aruba,10437,+38,94 ,,9978,+46,365,14,97423,877,142254,1327851,107131,10,1140,1
150,Papua New Guinea,10338,+386,99 ,+8,7364,,2875,,1138,11,73276,8068,9082662,879,91744,124
151,Congo,10084,,139 ,,8208,,1737,,1792,25,92500,16440,5626534,558,40479,61
152,Bahamas,9868,+68,194 ,,9140,+81,534,3,24903,490,83288,210184,396262,40,2043,5
153,Suriname,9791,+104,189 ,+1,8937,+37,665,14,16571,320,48136,81468,590855,60,3126,12
154,Trinidad and Tobago,9216,+81,157 ,,8036,+40,1023,8,6568,112,123309,87881,1403136,152,8937,11
155,Cambodia,7747,+303,54 ,+5,2794,+239,4899,,458,3,811284,47992,16904519,2182,313047,21
156,Benin,7720,,97 ,,7510,,113,35,624,8,581843,47012,12376574,1603,127594,21
157,Equatorial Guinea,7505,,106 ,,7016,,383,11,5213,74,116266,80759,1439661,192,13582,12
158,Nicaragua,6835,,181 ,,4225,,2429,,1022,27,,,6687807,978,36949,
159,Iceland,6362,+12,29 ,,6213,+5,120,3,18547,85,580974,1693683,343024,54,11828,1
160,CAR,6175,+246,85 ,+6,5112,,978,2,1261,17,40907,8353,4897014,793,57612,120
161,Yemen,5960,+42,1147 ,+9,2309,+28,2504,23,196,38,22934,756,30351024,5092,26461,1323
162,Gambia,5788,+4,171 ,+1,5248,+23,369,3,2343,69,62005,25095,2470799,427,14449,40
163,Niger,5141,+1,191 ,,4812,+17,138,23,206,8,96317,3868,24902885,4844,130382,259
164,San Marino,5044,+3,88 ,,4794,+37,162,4,148405,2589,59151,1740350,33988,7,386,1
165,Seychelles,5016,+4,25 ,,4551,+16,440,,50750,253,21504,217570,98837,20,3953,5
